age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
9.167048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.682294162948196892e+00,9.999999999999996669e-01,1.930060834899997302e-01,0.000000000000000000e+00,1.126622460304876405e+01
9.367048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.676298058846178662e+00,9.999999999999996669e-01,1.930182112845137687e-01,0.000000000000000000e+00,1.124619832838795652e+01
9.567048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.671579741330493363e+00,9.999999999999996669e-01,1.930279340415410883e-01,0.000000000000000000e+00,1.123048947881039084e+01
9.767048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.667911866633444262e+00,9.999999999999996669e-01,1.930355142811841229e-01,0.000000000000000000e+00,1.121890190038279123e+01
9.967048453099999460e+04,5.519999999999999574e+00,9.999999999999996669e-01,5.665129085596500857e+00,9.999999999999996669e-01,1.930412507644566900e-01,0.000000000000000000e+00,1.121041880903304389e+01
1.016704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.663070126163671780e+00,9.999999999999996669e-01,1.930456848399736691e-01,0.000000000000000000e+00,1.120406192665745237e+01
1.036704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.661519875874876817e+00,9.999999999999996669e-01,1.930490677025526736e-01,0.000000000000000000e+00,1.119975061722801968e+01
1.056704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.660269111418150700e+00,9.999999999999996669e-01,1.930516822578087210e-01,0.000000000000000000e+00,1.119600670456861558e+01
1.076704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.659136039321388090e+00,9.999999999999996669e-01,1.930543735984959486e-01,0.000000000000000000e+00,1.119252282044893221e+01
1.096704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.657972977870392661e+00,9.999999999999996669e-01,1.930567797685111553e-01,0.000000000000000000e+00,1.118872182835398021e+01
1.116704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.656619991392782154e+00,9.999999999999996669e-01,1.930594205984280110e-01,0.000000000000000000e+00,1.118440961290176006e+01
1.136704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.655056309316177199e+00,9.999999999999996669e-01,1.930625167047950730e-01,0.000000000000000000e+00,1.117860087431198401e+01
1.156704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.653516704795124248e+00,9.999999999999996669e-01,1.930655475775215069e-01,0.000000000000000000e+00,1.117317764841785532e+01
1.176704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.652184556841603147e+00,9.999999999999996669e-01,1.930681594147092284e-01,0.000000000000000000e+00,1.116877618972116792e+01
1.196704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.650814695689595268e+00,9.999999999999996669e-01,1.930709243697478761e-01,0.000000000000000000e+00,1.116403225441119318e+01
1.216704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.649229291716685530e+00,9.999999999999996669e-01,1.930738376860177685e-01,0.000000000000000000e+00,1.115841128904391688e+01
1.236704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.647432195519716203e+00,9.999999999999996669e-01,1.930771723028833486e-01,0.000000000000000000e+00,1.115194205984280273e+01
1.256704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.645417835058550438e+00,9.999999999999996669e-01,1.930811547260413152e-01,0.000000000000000000e+00,1.114468844141429926e+01
1.276704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.643225395818703305e+00,9.999999999999996669e-01,1.930853745271693123e-01,0.000000000000000000e+00,1.113686946476703632e+01
1.296704845300000015e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.640886679199980769e+00,9.999999999999996669e-01,1.930900185734670815e-01,0.000000000000000000e+00,1.112821558812204081e+01
1.316704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.638388819678813668e+00,9.999999999999996669e-01,1.930949563976533112e-01,0.000000000000000000e+00,1.111935830936147873e+01
1.336704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.635787061994607328e+00,9.999999999999996669e-01,1.931000043036081582e-01,0.000000000000000000e+00,1.111038958979817970e+01
1.356704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.633093342997575803e+00,9.999999999999996669e-01,1.931052472309678358e-01,0.000000000000000000e+00,1.110074860132731978e+01
1.376704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.630324242904707788e+00,9.999999999999996669e-01,1.931107723844254498e-01,0.000000000000000000e+00,1.109051597997689420e+01
1.396704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.627415751206141792e+00,9.999999999999996669e-01,1.931163451040793233e-01,0.000000000000000000e+00,1.108020747921809956e+01
1.416704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.624432603229969629e+00,9.999999999999996669e-01,1.931219971007270275e-01,0.000000000000000000e+00,1.106942422251919211e+01
1.436704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.621353620693559705e+00,9.999999999999996669e-01,1.931280842148179466e-01,0.000000000000000000e+00,1.105841332759518636e+01
1.456704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.618189811773764752e+00,9.999999999999996669e-01,1.931343740515073515e-01,0.000000000000000000e+00,1.104683141181000394e+01
1.476704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.614957960542707127e+00,9.999999999999996669e-01,1.931405764569978367e-01,0.000000000000000000e+00,1.103486556886905312e+01
1.496704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.611648440508277602e+00,9.999999999999996669e-01,1.931469895127861935e-01,0.000000000000000000e+00,1.102249428073115922e+01
1.516704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.608278488753991375e+00,9.999999999999996669e-01,1.931536449296699098e-01,0.000000000000000000e+00,1.101028652970621913e+01
1.536704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.604806745339644181e+00,9.999999999999996669e-01,1.931605744184465567e-01,0.000000000000000000e+00,1.099757706856327211e+01
1.556704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.601283539831025671e+00,9.999999999999996669e-01,1.931674855602618091e-01,0.000000000000000000e+00,1.098467303902693004e+01
1.576704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.597674194205982445e+00,9.999999999999996669e-01,1.931746741715553717e-01,0.000000000000000000e+00,1.097161747717954761e+01
1.596704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.594030170558788484e+00,9.999999999999996669e-01,1.931818455684159996e-01,0.000000000000000000e+00,1.095834016625517826e+01
1.616704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.590312374006204621e+00,9.999999999999996669e-01,1.931890269315272857e-01,0.000000000000000000e+00,1.094450678384561115e+01
1.636704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.586514802147273251e+00,9.999999999999996669e-01,1.931965673061677158e-01,0.000000000000000000e+00,1.093069763754557933e+01
1.656704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.582632132098121147e+00,9.999999999999996669e-01,1.932041674783120389e-01,0.000000000000000000e+00,1.091717343541189855e+01
1.676704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.578659720491968343e+00,9.999999999999996669e-01,1.932121164692291726e-01,0.000000000000000000e+00,1.090275430927087541e+01
1.696704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.574593603479126358e+00,9.999999999999996669e-01,1.932201127998368906e-01,0.000000000000000000e+00,1.088829599764433809e+01
1.716704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.570489546762099842e+00,9.999999999999996669e-01,1.932281768556478874e-01,0.000000000000000000e+00,1.087315363881401176e+01
1.741704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.566286348501663817e+00,9.999999999999996669e-01,1.932363267571178822e-01,0.000000000000000000e+00,1.085792113071643605e+01
1.761704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.562009173480712221e+00,9.999999999999996669e-01,1.932448447303449224e-01,0.000000000000000000e+00,1.084260640105098439e+01
1.781704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.557651679539739931e+00,9.999999999999996669e-01,1.932531561303766354e-01,0.000000000000000000e+00,1.082689777797911468e+01
1.801704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.553208430542026619e+00,9.999999999999996669e-01,1.932618627828489588e-01,0.000000000000000000e+00,1.081075222541846514e+01
1.826704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.548674896373641197e+00,9.999999999999996669e-01,1.932709760130466858e-01,0.000000000000000000e+00,1.079445310199551145e+01
1.846704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.544047452943440035e+00,9.999999999999996669e-01,1.932799166459036044e-01,0.000000000000000000e+00,1.077775555505220417e+01
1.871704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.539350019252983870e+00,9.999999999999996669e-01,1.932892819769416737e-01,0.000000000000000000e+00,1.076089197943328024e+01
1.896704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.534548596797208120e+00,9.999999999999996669e-01,1.932984883009807309e-01,0.000000000000000000e+00,1.074350879974631212e+01
1.916704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.529669143128948861e+00,9.999999999999996669e-01,1.933081283834288122e-01,0.000000000000000000e+00,1.072596072391220368e+01
1.936704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.524706335364333754e+00,9.999999999999996669e-01,1.933179381186436452e-01,0.000000000000000000e+00,1.070828286031393439e+01
1.956704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.519623570182789152e+00,9.999999999999996669e-01,1.933276511359260375e-01,0.000000000000000000e+00,1.069039932954313521e+01
1.976704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.514470837391559854e+00,9.999999999999996669e-01,1.933378534055131270e-01,0.000000000000000000e+00,1.067223878230537437e+01
1.996704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.509213798727037315e+00,9.999999999999996669e-01,1.933479498969398747e-01,0.000000000000000000e+00,1.065379215837278082e+01
2.016704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.503878298489206067e+00,9.999999999999996669e-01,1.933582556796303309e-01,0.000000000000000000e+00,1.063446442728034391e+01
2.036704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.498459127047043538e+00,9.999999999999996669e-01,1.933690835579514322e-01,0.000000000000000000e+00,1.061505465582459173e+01
2.056704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.492920020838522710e+00,9.999999999999996669e-01,1.933798317062673522e-01,0.000000000000000000e+00,1.059519880404991987e+01
2.076704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.487284898865205207e+00,9.999999999999996669e-01,1.933908083988311599e-01,0.000000000000000000e+00,1.057492092686130825e+01
2.096704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.481579039162834732e+00,9.999999999999996669e-01,1.934020532741397569e-01,0.000000000000000000e+00,1.055469491947722460e+01
2.121704845299999870e+05,5.519999999999999574e+00,9.999999999999996669e-01,5.475764479376654670e+00,9.999999999999996669e-01,1.934132795759812840e-01,0.000000000000000000e+00,1.053381229472920744e+01
